group,event_no,untested
1,37,L
1,38,L
1,39,L
1,40,L
1,41,L
1,42,L
1,43,O
1,44,O
1,45,O
1,46,O
1,47,O
1,48,O
1,49,A
1,50,A
1,51,A
1,52,A
1,53,A
1,54,A
2,37,A
2,38,A
2,39,A
2,40,A
2,41,A
2,42,A
2,43,L
2,44,L
2,45,L
2,46,L
2,47,L
2,48,L
2,49,O
2,50,O
2,51,O
2,52,O
2,53,O
2,54,O
3,37,O
3,38,O
3,39,O
3,40,O
3,41,O
3,42,O
3,43,A
3,44,A
3,45,A
3,46,A
3,47,A
3,48,A
3,49,L
3,50,L
3,51,L
3,52,L
3,53,L
3,54,L
4,1,L
4,2,L
4,3,L
4,4,L
4,5,L
4,6,L
4,7,O
4,8,O
4,9,O
4,10,O
4,11,O
4,12,O
4,13,A
4,14,A
4,15,A
4,16,A
4,17,A
4,18,A
5,1,A
5,2,A
5,3,A
5,4,A
5,5,A
5,6,A
5,7,L
5,8,L
5,9,L
5,10,L
5,11,L
5,12,L
5,13,O
5,14,O
5,15,O
5,16,O
5,17,O
5,18,O
6,1,O
6,2,O
6,3,O
6,4,O
6,5,O
6,6,O
6,7,A
6,8,A
6,9,A
6,10,A
6,11,A
6,12,A
6,13,L
6,14,L
6,15,L
6,16,L
6,17,L
6,18,L
7,19,L
7,20,L
7,21,L
7,22,L
7,23,L
7,24,L
7,25,O
7,26,O
7,27,O
7,28,O
7,29,O
7,30,O
7,31,A
7,32,A
7,33,A
7,34,A
7,35,A
7,36,A
8,19,A
8,20,A
8,21,A
8,22,A
8,23,A
8,24,A
8,25,L
8,26,L
8,27,L
8,28,L
8,29,L
8,30,L
8,31,O
8,32,O
8,33,O
8,34,O
8,35,O
8,36,O
9,19,O
9,20,O
9,21,O
9,22,O
9,23,O
9,24,O
9,25,A
9,26,A
9,27,A
9,28,A
9,29,A
9,30,A
9,31,L
9,32,L
9,33,L
9,34,L
9,35,L
9,36,L
10,37,L
10,38,L
10,39,L
10,40,L
10,41,L
10,42,L
10,43,O
10,44,O
10,45,O
10,46,O
10,47,O
10,48,O
10,49,A
10,50,A
10,51,A
10,52,A
10,53,A
10,54,A
11,37,A
11,38,A
11,39,A
11,40,A
11,41,A
11,42,A
11,43,L
11,44,L
11,45,L
11,46,L
11,47,L
11,48,L
11,49,O
11,50,O
11,51,O
11,52,O
11,53,O
11,54,O
12,37,O
12,38,O
12,39,O
12,40,O
12,41,O
12,42,O
12,43,A
12,44,A
12,45,A
12,46,A
12,47,A
12,48,A
12,49,L
12,50,L
12,51,L
12,52,L
12,53,L
12,54,L
13,1,L
13,2,L
13,3,L
13,4,L
13,5,L
13,6,L
13,7,O
13,8,O
13,9,O
13,10,O
13,11,O
13,12,O
13,13,A
13,14,A
13,15,A
13,16,A
13,17,A
13,18,A
14,1,A
14,2,A
14,3,A
14,4,A
14,5,A
14,6,A
14,7,L
14,8,L
14,9,L
14,10,L
14,11,L
14,12,L
14,13,O
14,14,O
14,15,O
14,16,O
14,17,O
14,18,O
15,1,O
15,2,O
15,3,O
15,4,O
15,5,O
15,6,O
15,7,A
15,8,A
15,9,A
15,10,A
15,11,A
15,12,A
15,13,L
15,14,L
15,15,L
15,16,L
15,17,L
15,18,L
16,19,L
16,20,L
16,21,L
16,22,L
16,23,L
16,24,L
16,25,O
16,26,O
16,27,O
16,28,O
16,29,O
16,30,O
16,31,A
16,32,A
16,33,A
16,34,A
16,35,A
16,36,A
17,19,A
17,20,A
17,21,A
17,22,A
17,23,A
17,24,A
17,25,L
17,26,L
17,27,L
17,28,L
17,29,L
17,30,L
17,31,O
17,32,O
17,33,O
17,34,O
17,35,O
17,36,O
18,19,O
18,20,O
18,21,O
18,22,O
18,23,O
18,24,O
18,25,A
18,26,A
18,27,A
18,28,A
18,29,A
18,30,A
18,31,L
18,32,L
18,33,L
18,34,L
18,35,L
18,36,L
