,event_no,category,element,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,ANIMAL,aardvark,ardvark,aadvark,aarvark,aardark,aardvrk,aardvak,aardvar,aaardvark,aarrdvark,aarddvark,aardvvark,aardvaark,aardvarrk,aardvarkk,a ardvark,aa rdvark,aar dvark,aard vark,aardv ark,aardva rk,aardvar k,aradvark,aadrvark,aarvdark,aardavrk,aardvrak,aardvakr,aqardvark,qaardvark,awardvark,waardvark,asardvark,saardvark,azardvark,zaardvark,aaqrdvark,aawrdvark,aasrdvark,aazrdvark,aaredvark,aaerdvark,aadrdvark,aarfdvark,aafrdvark,aartdvark,aatrdvark,aardevark,aardsvark,aarsdvark,aardxvark,aarxdvark,aardcvark,aarcdvark,aardfvark,aardrvark,aardvcark,aardvfark,aardvgark,aardgvark,aardvbark,aardbvark,aardvaqrk,aardvqark,aardvawrk,aardvwark,aardvasrk,aardvsark,aardvazrk,aardvzark,aardvarek,aardvaerk,aardvardk,aardvadrk,aardvarfk,aardvafrk,aardvartk,aardvatrk,aardvarkm,aardvarmk,aardvarkj,aardvarjk,aardvarki,aardvarik,aardvarko,aardvarok,aardvarkl,aardvarlk,aar,aard,aardv,aardva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,55,LOCATION,airport,irport,arport,aiport,airort,airprt,airpot,airpor,aairport,aiirport,airrport,airpport,airpoort,airporrt,airportt,a irport,ai rport,air port,airp ort,airpo rt,airpor t,iarport,ariport,aiprort,airoprt,airprot,airpotr,aqirport,qairport,awirport,wairport,asirport,sairport,azirport,zairport,aiurport,auirport,aijrport,ajirport,aikrport,akirport,aiorport,aoirport,aireport,aierport,airdport,aidrport,airfport,aifrport,airtport,aitrport,airoport,airplort,airlport,airpoirt,airpiort,airpokrt,airpkort,airpolrt,airpoprt,airporet,airpoert,airpordt,airpodrt,airporft,airpofrt,airpotrt,airportr,airportf,airportg,airporgt,airporty,airporyt,air,airp,airpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,ANIMAL,ant,,,,aant,annt,antt,a nt,an t,nat,atn,aqnt,qant,awnt,want,asnt,sant,aznt,zant,anbt,abnt,anht,ahnt,anjt,ajnt,anmt,amnt,antr,anrt,antf,anft,antg,angt,anty,anyt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,21,LOCATION,aquarium,quarium,auarium,aqarium,aqurium,aquaium,aquarum,aquarim,aquariu,aaquarium,aqquarium,aquuarium,aquaarium,aquarrium,aquariium,aquariuum,aquariumm,a quarium,aq uarium,aqu arium,aqua rium,aquar ium,aquari um,aquariu m,qauarium,auqarium,aqaurium,aquraium,aquairum,aquaruim,aquarimu,qaquarium,awquarium,waquarium,asquarium,saquarium,azquarium,zaquarium,aqauarium,aqwuarium,aquyarium,aqyuarium,aquharium,aqhuarium,aqujarium,aqjuarium,aquiarium,aqiuarium,aquaqrium,aquqarium,aquawrium,aquwarium,aquasrium,aqusarium,aquazrium,aquzarium,aquareium,aquaerium,aquardium,aquadrium,aquarfium,aquafrium,aquartium,aquatrium,aquaruium,aquarijum,aquarjium,aquarikum,aquarkium,aquarioum,aquaroium,aquariuym,aquariyum,aquariuhm,aquarihum,aquariujm,aquariuim,aquariumn,aquariunm,aquariumj,aquariumk,aquariukm,aqu,aqua,aquar,aquari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,4,OBJECT,backpack,ackpack,bckpack,bakpack,bacpack,backack,backpck,backpak,backpac,bbackpack,baackpack,bacckpack,backkpack,backppack,backpaack,backpacck,backpackk,b ackpack,ba ckpack,bac kpack,back pack,backp ack,backpa ck,backpac k,abckpack,bcakpack,bakcpack,bacpkack,backapck,backpcak,backpakc,bvackpack,vbackpack,bgackpack,gbackpack,bhackpack,hbackpack,bnackpack,nbackpack,baqckpack,bqackpack,bawckpack,bwackpack,basckpack,bsackpack,bazckpack,bzackpack,bacxkpack,baxckpack,bacdkpack,badckpack,bacfkpack,bafckpack,bacvkpack,bavckpack,backmpack,bacmkpack,backjpack,bacjkpack,backipack,bacikpack,backopack,bacokpack,backlpack,baclkpack,backpoack,backplack,backpaqck,backpqack,backpawck,backpwack,backpasck,backpsack,backpazck,backpzack,backpacxk,backpaxck,backpacdk,backpadck,backpacfk,backpafck,backpacvk,backpavck,backpackm,backpacmk,backpackj,backpacjk,backpacki,backpacik,backpacko,backpacok,backpackl,backpaclk,back,backp,backpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,ANIMAL,badger,adger,bdger,bager,bader,badgr,badge,bbadger,baadger,baddger,badgger,badgeer,badgerr,b adger,ba dger,bad ger,badg er,badge r,abdger,bdager,bagder,badegr,badgre,bvadger,vbadger,bgadger,gbadger,bhadger,hbadger,bnadger,nbadger,baqdger,bqadger,bawdger,bwadger,basdger,bsadger,bazdger,bzadger,badeger,baedger,badsger,badxger,baxdger,badcger,bacdger,badfger,bafdger,badrger,bardger,badgfer,badgter,badtger,badgyer,badyger,badgher,badhger,badgber,badbger,badgver,badvger,badgewr,badgwer,badgesr,badgser,badgedr,badgder,badgrer,badgere,badgerd,badgerf,badgefr,badgert,badgetr,badg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,24,LOCATION,bakery,akery,bkery,baery,bakry,bakey,baker,bbakery,baakery,bakkery,bakeery,bakerry,bakeryy,b akery,ba kery,bak ery,bake ry,baker y,abkery,bkaery,baekry,bakrey,bakeyr,bvakery,vbakery,bgakery,gbakery,bhakery,hbakery,bnakery,nbakery,baqkery,bqakery,bawkery,bwakery,baskery,bsakery,bazkery,bzakery,bakmery,bamkery,bakjery,bajkery,bakiery,baikery,bakoery,baokery,baklery,balkery,bakewry,bakwery,bakesry,baksery,bakedry,bakdery,bakrery,bakerey,bakerdy,bakerfy,bakefry,bakerty,baketry,bakeryt,bakeryg,bakergy,bakeryh,bakerhy,bakeryu,bakeruy,bake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,23,LOCATION,balcony,alcony,blcony,bacony,balony,balcny,balcoy,balcon,bbalcony,baalcony,ballcony,balccony,balcoony,balconny,balconyy,b alcony,ba lcony,bal cony,balc ony,balco ny,balcon y,ablcony,blacony,baclony,balocny,balcnoy,balcoyn,bvalcony,vbalcony,bgalcony,gbalcony,bhalcony,hbalcony,bnalcony,nbalcony,baqlcony,bqalcony,bawlcony,bwalcony,baslcony,bsalcony,bazlcony,bzalcony,balkcony,baklcony,balocony,baolcony,balpcony,baplcony,balcxony,balxcony,balcdony,baldcony,balcfony,balfcony,balcvony,balvcony,balcoiny,balciony,balcokny,balckony,balcolny,balclony,balcopny,balcpony,balconby,balcobny,balconhy,balcohny,balconjy,balcojny,balconmy,balcomny,balconyt,balconty,balconyg,balcongy,balconyh,balconyu,balconuy,balc,balco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,13,OBJECT,ball,all,bll,bal,bball,baall,balll,b all,ba ll,bal l,abll,blal,bvall,vball,bgall,gball,bhall,hball,bnall,nball,baqll,bqall,bawll,bwall,basll,bsall,bazll,bzall,balkl,bakll,balol,baoll,balpl,bapll,ballk,,ballp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,42,OBJECT,balloon,alloon,blloon,baloon,ballon,balloo,bballoon,baalloon,ballloon,ballooon,balloonn,b alloon,ba lloon,bal loon,ball oon,ballo on,balloo n,ablloon,blaloon,balolon,ballono,bvalloon,vballoon,bgalloon,gballoon,bhalloon,hballoon,bnalloon,nballoon,baqlloon,bqalloon,bawlloon,bwalloon,baslloon,bsalloon,bazlloon,bzalloon,balkloon,baklloon,baloloon,baolloon,balploon,baplloon,ballkoon,ballpoon,balloion,ballioon,ballokon,ballolon,ballopon,ballooin,ballookn,ballooln,balloopn,balloonb,balloobn,balloonh,balloohn,balloonj,balloojn,balloonm,balloomn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
