ID,other_comments_s2,researcher_rating
2069369,I started to remember more of the word trios after a round or two of the exercise and this may affect my results. Also I noticed that some of the trios that I was sure of did not have the correct matching word occasionally in the exercise for some of the sets.,1
2069537,NA,1
2069365,NA,1
2070024,"Having 6 seconds really affected my answers, would have liked longer time",1
2069383,NA,1
2069368,NA,1
2069370,No,1
2069522,NA,1
2069372,NA,1
2075961,NA,1
2076070,NA,1
2075950,"No, everything was good.",1
2075956,It would be nice to give a 3 second warning here as I missed a few due to that. Otherwise was a fun study,1
2075962,NA,1
2075953,NA,1
2075946,NA,1
2075952,NA,1
2075959,NA,1
2080734,NA,1
2080715,NA,1
2080713,NA,1
2080747,NA,1
2080725,Nothing at all.,1
2080726,thank you,1
2080749,"There was none. It was definitely far more challenging than the first, but very intriguing still",1
2080727,NA,1
2080812,NA,1
2080720,NA,1
2080739,no,1
2083627,NA,1
2083605,"The 6 seconds was very very short and added tons of stress, due to which I pressed the wrong key (number a few time trying to rush). Also, the short time to react almost removed the chances of me being able to eliminate the options that I was sure about and select amongst the ones that I doubt about! I could have performed better if there was no time limit. Also, could barely remember much since the last time I did the test, so a review would have been defenitely helpful.",1
2083617,no,1
2083814,no,1
2083651,NA,1
2083652,NA,1
2083678,NA,1
2083615,NA,1
2083628,My laptop froze for a minute,0
2083679,NA,1
2083634,NA,1
2083637,it was hard!!,1
2083618,NA,1
2083612,NA,1
2088711,NA,1
2088758,NA,1
2083602,NA,1
2088714,"maybe allow more time for each answer, so someone can get the answer by process of elimination",1
2088710,NA,1
2088745,NA,1
2088713,NA,1
2083616,NA,1
2105515,NA,1
2104752,this was really challenging to remember,1
2104761,NA,1
2104760,NA,1
2104745,i'm sure some of the answeres weren't available,1
2104817,NA,1
2104751,NA,1
2104774,NA,1
2104787,NA,1
2113752,NA,1
2113742,NA,1
2113688,NA,1
2113692,NA,1
2113690,enjoyed taking part . thank you,1
2113796,NA,1
2113701,NA,1
2113703,NA,1
2113700,NA,1
2125241,NA,1
2125194,n/a,1
2125202,NA,1
2125209,"No technical issues, but this was very challenging. I didn't realise that my memory was so poor",1
2125205,no,1
2125213,NA,1
2125207,NA,1
2125191,Just thank you for allowing me to take part in this very interesting study!,1
2125183,"No, everything was fine.",1
2125196,NA,1
2125198,NA,1
2125192,NA,1
2125180,NA,1
2125200,NA,1
2125197,N/a,1
2125186,NA,1
2128012,no,1
2128009,No,1
2128015,NA,1
2128039,NA,1
2128064,NA,1
2127986,n/a,1
2128038,NA,1
2127989,NA,1
2128011,NA,1
2127990,NA,1
2128127,-,1
2128130,NA,1
2127996,NA,1
2128013,None,1
2128001,N/A,1
2128004,NA,1
2131260,"I'm sure the wolf was linked with University but that choice never came up. Also with the 6 seconds, i think i got panicked and pressed too quickly on a few an dpressed the wrong one.",1
2131209,NA,1
2131306,Nothing.,1
2131208,NA,1
2138050,NA,1
2138024,NA,1
2155924,No technical issues,1
2155931,no,1
2156020,"No, everything went smoothly",1
2156476,NA,1
2156001,n/a,1
2157058,NA,1
2155929,NA,1
2155958,i may have just forgotten some words but found them very hard to match as i don't recall a number - whereas others were much easier,1
