session1,session2
2069372,2082009
2069364,NA
2069367,NA
2069368,2081138
2069370,2081168
2069385,NA
2069373,NA
2069365,2080751
2069383,2080930
2069374,NA
2069369,2080732
2069366,NA
2069381,NA
2069377,NA
2069375,NA
2069389,NA
2069396,NA
2069371,NA
2069386,NA
2069382,NA
2069394,NA
2069443,NA
2069535,NA
2069399,NA
2069363,NA
2069415,NA
2069537,2080743
2069522,2081358
2069567,NA
2070024,2080921
2075941,NA
2075949,NA
2075945,NA
2075948,NA
2075944,NA
2075961,2083597
2075940,NA
2075957,2088452
2075947,NA
2075967,NA
2075960,NA
2075962,2084314
2075946,2084934
2075956,2083790
2075953,2084566
2075942,NA
2075950,2083649
2075959,2086184
2075952,2085732
2075979,NA
2075963,NA
2075939,NA
2075951,NA
2075958,NA
2075954,NA
2075968,NA
2075943,NA
2076070,2083620
2076004,NA
2080718,NA
2080720,2094812
2080715,2088380
2080734,2088374
2080714,NA
2080717,NA
2080742,NA
2080727,2089589
2080725,2088416
2080722,NA
2080713,2088389
2080747,2088394
2080721,NA
2080738,NA
2080724,NA
2080739,2094818
2080741,NA
2080746,NA
2080749,2088847
2080744,NA
2080736,NA
2080728,NA
2080726,2088449
2080812,2094753
2080814,NA
2080856,NA
2080912,NA
2080915,NA
2080973,NA
2083601,NA
2083602,2104864
2083614,NA
2083615,2097845
2083616,2111052
2083611,NA
2083617,2097024
2083610,NA
2083604,NA
2083609,NA
2083626,NA
2083618,2102625
2083637,2102038
2083612,2104231
2083634,2101853
2083627,2096995
2083652,2097119
2083651,2097084
2083650,NA
2083633,NA
2083657,NA
2083678,2097385
2083605,2097017
2083679,2099793
2083628,2098701
2083723,NA
2083814,2097068
2088713,2110733
2088714,2104961
2088711,2104790
2088745,2105275
2088748,NA
2088744,NA
2088743,NA
2088758,2104813
2088793,NA
2088788,NA
2088710,2105169
2088746,NA
2088808,NA
2088770,2110769
2104745,2120765
2104752,2120554
2104761,2120558
2104762,NA
2104748,NA
2104777,NA
2104751,2121596
2104763,2123805
2104793,NA
2104774,2123638
2104757,2124290
2104747,NA
2104769,NA
2104807,NA
2104773,NA
2104756,NA
2104787,2124549
2104817,2121139
2104772,NA
2104760,2120721
2104791,NA
2104820,NA
2104923,NA
2104998,NA
2104966,NA
2104758,NA
2105515,2120515
2113689,NA
2113696,NA
2113692,2125336
2113700,2126568
2113693,NA
2113697,NA
2113690,2125470
2113694,NA
2113688,2125249
2113701,2126032
2113703,2126380
2113748,NA
2113742,2125216
2113752,2125171
2113720,NA
2113796,2125530
2113724,NA
2113695,NA
2125180,2132378
2125196,2131705
2125200,2136665
2125186,2137025
2125197,2136751
2125188,NA
2125194,2131279
2125189,2131794
2125192,2131851
2125205,2131327
2125195,NA
2125177,NA
2125191,2131378
2125207,2131332
2125213,2131331
2125208,NA
2125209,2131314
2125210,NA
2125201,NA
2125217,NA
2125220,NA
2125183,2131684
2125202,2131293
2125206,NA
2125215,NA
2125241,2131244
2125252,NA
2125276,NA
2125198,2131706
2125256,2136696
2125214,NA
2127990,2138497
2128002,NA
2128008,NA
2127996,2142031
2127995,NA
2128014,NA
2128001,2144057
2127994,NA
2128015,2138148
2128009,2138124
2128018,NA
2128017,2139355
2127989,2138257
2128013,2142414
2127986,2138172
2127997,NA
2128039,2138164
2127999,NA
2128012,2138095
2128003,NA
2127998,NA
2128038,2138195
2128059,NA
2128041,NA
2128024,NA
2128010,2139600
2128005,NA
2128004,2144384
2127991,NA
2128064,2138166
2128011,2138428
2128006,NA
2128095,NA
2128043,NA
2128127,2139433
2128130,2139732
2128035,NA
2128247,NA
2128270,NA
2131206,NA
2131208,2145264
2131209,2145098
2131212,2145120
2131201,NA
2131303,NA
2131205,2145469
2131283,NA
2131247,NA
2131260,2145091
2131311,NA
2131231,NA
2131306,2145161
2131335,NA
2131379,NA
2131448,NA
2131390,NA
2131374,NA
2131282,NA
2131239,NA
2131323,NA
2138009,NA
2138018,NA
2138019,NA
2138008,NA
2138020,NA
2138050,2156016
2138012,NA
2138024,2156075
2138007,NA
2155929,2168244
2155931,2167661
2155935,NA
2155924,2167640
2155958,2168258
2155936,NA
2155933,NA
2155972,NA
2155921,NA
2155966,NA
2156020,2167674
2155928,NA
2156476,2167759
2156001,2167875
2157021,NA
2157058,2167911
