participant_private_id,trial_number,eventno,category_cue,response,target,rater_1,rater_2,agreement,rater_3
2075957,3,13,LOCATION,no idea,forest,error,error,1,NA
2075957,4,5,OBJECT,no idea,carrot,error,error,1,NA
2075957,5,10,ANIMAL,i can't do this,flamingo,error,error,1,NA
2075957,6,11,ANIMAL,lll,goat,error,error,1,NA
2075957,7,15,LOCATION,kkk,living room,error,error,1,NA
2075957,8,8,ANIMAL,no,zebra,error,error,1,NA
2075957,11,3,OBJECT,i can't type quick,skipping rope,error,error,1,NA
2075957,12,17,LOCATION,enough,gym,error,error,1,NA
2075957,13,1,OBJECT,nnn,dice,error,error,1,NA
2075957,14,16,LOCATION,no,cruise ship,error,error,1,NA
2075957,15,9,ANIMAL,no,butterfly,error,error,1,NA
2075957,16,2,OBJECT,?,kite,error,error,1,NA
2075957,17,4,OBJECT,?,backpack,error,error,1,NA
2075957,18,6,OBJECT,?,clock,error,error,1,NA
2075957,19,7,ANIMAL,?,kangaroo,error,error,1,NA
2075957,20,14,LOCATION,i remember,railway station,error,error,1,NA
2075957,25,3,ANIMAL,no,sheep,error,error,1,NA
2075957,27,17,OBJECT,no,chainsaw,error,error,1,NA
2075957,28,1,ANIMAL,no,fish,error,error,1,NA
2075957,29,9,LOCATION,no,bank,error,error,1,NA
2075957,33,5,ANIMAL,no,spider,error,error,1,NA
2075957,34,6,ANIMAL,no,giraffe,error,error,1,NA
2075957,35,11,LOCATION,no,garden,error,error,1,NA
2075957,36,8,LOCATION,no,waterfall,error,error,1,NA
2075957,37,4,ANIMAL,no,cow,error,error,1,NA
2075957,38,15,OBJECT,no,ring,error,error,1,NA
2069537,10,14,ANIMAL,rat,pig,error,error,1,NA
2069537,14,2,LOCATION,hill,classroom,error,error,1,NA
2069537,22,4,OBJECT,bag,backpack,error,error,1,NA
2069537,33,5,OBJECT,knife,carrot,error,error,1,NA
2069537,34,2,OBJECT,chalk,kite,error,error,1,NA
2075962,3,19,LOCATION,station,stadium,error,"wrong event, correct category",0,"wrong event, correct category"
2075962,22,19,OBJECT,owl,handbag,error,error,1,NA
2075956,10,41,OBJECT,wis,whistle,1,error,0,error
2075956,12,50,LOCATION,bakerr,basement,"wrong event, correct category",error,0,"wrong event, correct category"
2075956,18,44,ANIMAL,ba,hippo,error,error,1,NA
2075956,22,51,OBJECT,whake,necklace,"correct event, wrong category",error,0,"correct event, wrong category"
2075956,26,43,LOCATION,parl,casino,error,error,1,NA
2075956,33,52,OBJECT,candke,calculator,"wrong event, correct category","wrong event, correct category",1,NA
2075956,37,39,ANIMAL,froh,squirrel,"wrong event, correct category","wrong event, correct category",1,NA
2069383,11,53,ANIMAL,bird,mouse,error,error,1,NA
2069383,15,42,LOCATION,cr,swimming pool,error,error,1,NA
2069383,28,39,OBJECT,drums,drum,1,1,1,NA
2069365,6,45,LOCATION,house,nightclub,error,error,1,NA
2069365,8,50,OBJECT,feather,flower,error,error,1,NA
2069365,9,46,LOCATION,house,cave,error,error,1,NA
2069365,13,52,OBJECT,paper,calculator,error,error,1,NA
2069365,15,54,OBJECT,sunglasses,hammer,error,error,1,NA
2069365,19,49,OBJECT,paper,screwdriver,error,error,1,NA
2069365,29,46,OBJECT,paper,toothbrush,error,error,1,NA
2069365,33,44,OBJECT,watch,binoculars,error,error,1,NA
2069365,38,47,OBJECT,game,jigsaw,error,error,1,NA
2069522,8,49,OBJECT,chalk,screwdriver,error,error,1,NA
2069522,17,53,OBJECT,ticket,television,error,error,1,NA
2069522,19,48,LOCATION,downtown,windmill,error,error,1,NA
2069522,28,39,LOCATION,grocery store,supermarket,1,error,0,1
2069522,29,48,OBJECT,knife,jacket,error,error,1,NA
2069522,36,38,LOCATION,restaraunt,lake,"wrong event, correct category","wrong event, correct category",1,NA
2075946,18,49,OBJECT,watch,screwdriver,error,error,1,NA
2075946,38,47,OBJECT,ostruch,jigsaw,"wrong event, wrong category","wrong event, wrong category",1,NA
2069372,8,14,LOCATION,owl,railway station,error,error,1,NA
2069372,10,12,ANIMAL,bird,bear,error,error,1,NA
2069372,11,3,OBJECT,jumprope,skipping rope,1,1,1,NA
2069372,14,4,OBJECT,knitting,backpack,error,error,1,NA
2069372,17,17,LOCATION,woods,gym,error,error,1,NA
2069372,19,2,OBJECT,sewingkit,kite,error,error,1,NA
2075952,9,15,LOCATION,lounge,living room,1,1,1,NA
2075952,26,12,LOCATION,k,lighthouse,error,error,1,NA
2070024,5,7,OBJECT,tre,book,"correct event, wrong category",error,0,"correct event, wrong category"
2070024,6,12,OBJECT,cup,mug,1,1,1,NA
2070024,23,14,LOCATION,train station,railway station,1,1,1,NA
