participant_private_id,trial_number,display,reaction_time,response,cue,category_cue,target,eventno,pairtype,untested_element,accuracy,typed_response,accuracy_types
2075957,3,retrieval_trial,1763.00000000001,no idea,ball,LOCATION,forest,13,OL,A,error,no idea,error
2075957,4,retrieval_trial,1851.00000000001,no idea,spider,OBJECT,carrot,5,AO,L,error,no idea,error
2075957,5,retrieval_trial,2331,i can't do this,hairdressers,ANIMAL,flamingo,10,LA,O,error,i can't do this,error
2075957,6,retrieval_trial,2807,lll,garden,ANIMAL,goat,11,LA,O,error,lll,error
2075957,7,retrieval_trial,1325.99999999999,kkk,ring,LOCATION,living room,15,OL,A,error,kkk,error
2075957,8,retrieval_trial,1812,no,waterfall,ANIMAL,zebra,8,LA,O,error,no,error
2075957,9,retrieval_trial,751.999999999971,whale,lighthouse,ANIMAL,bear,12,LA,O,error,whale,wc_event_error
2075957,10,retrieval_trial,9978,university,trophy,LOCATION,university,18,OL,A,1,universit,1
2075957,11,retrieval_trial,1464,i can't type quick,sheep,OBJECT,skipping rope,3,AO,L,error,i can't type quick,error
2075957,12,retrieval_trial,644,enough,chainsaw,LOCATION,gym,17,OL,A,error,enough,error
2075957,13,retrieval_trial,3057,nnn,fish,OBJECT,dice,1,AO,L,error,nnn,error
2075957,14,retrieval_trial,637,no,statue,LOCATION,cruise ship,16,OL,A,error,no,error
2075957,15,retrieval_trial,1632,no,bank,ANIMAL,butterfly,9,LA,O,error,no,error
2075957,16,retrieval_trial,1842.99999999997,?,snake,OBJECT,kite,2,AO,L,error,?,error
2075957,17,retrieval_trial,954,?,cow,OBJECT,backpack,4,AO,L,error,?,error
2075957,18,retrieval_trial,1237,?,giraffe,OBJECT,clock,6,AO,L,error,?,error
2075957,19,retrieval_trial,1609,?,treehouse,ANIMAL,kangaroo,7,LA,O,error,?,error
2075957,20,retrieval_trial,1310,i remember,glasses,LOCATION,railway station,14,OL,A,error,i remember,error
2075957,21,retrieval_trial,4816.99999999988,ball,forest,OBJECT,ball,13,LO,A,1,ball,1
2075957,22,retrieval_trial,2369.00000000012,hairdressers,flamingo,LOCATION,hairdressers,10,AL,O,1,hairdresser,1
2075957,23,retrieval_trial,2770,lighthouse,bear,LOCATION,lighthouse,12,AL,O,1,lighthouse,1
2075957,24,retrieval_trial,2611,map,railway station,OBJECT,glasses,14,LO,A,error,map,wc_event_error
2075957,25,retrieval_trial,4059,no,skipping rope,ANIMAL,sheep,3,OA,L,error,no,error
2075957,26,retrieval_trial,3242,statue,cruise ship,OBJECT,statue,16,LO,A,1,statue,1
2075957,27,retrieval_trial,3095,no,gym,OBJECT,chainsaw,17,LO,A,error,no,error
2075957,28,retrieval_trial,2484.00000000012,no,dice,ANIMAL,fish,1,OA,L,error,no,error
2075957,29,retrieval_trial,3516,no,butterfly,LOCATION,bank,9,AL,O,error,no,error
2075957,30,retrieval_trial,2950.00000000012,treehouse,kangaroo,LOCATION,treehouse,7,AL,O,1,treehouse,1
2075957,31,retrieval_trial,2734,snake,kite,ANIMAL,snake,2,OA,L,1,snake,1
2075957,32,retrieval_trial,5488.00000000012,trophy,university,OBJECT,trophy,18,LO,A,1,trophy,1
2075957,33,retrieval_trial,2430,no,carrot,ANIMAL,spider,5,OA,L,error,no,error
2075957,34,retrieval_trial,2717,no,clock,ANIMAL,giraffe,6,OA,L,error,no,error
2075957,35,retrieval_trial,1865,no,goat,LOCATION,garden,11,AL,O,error,no,error
2075957,36,retrieval_trial,2907,no,zebra,LOCATION,waterfall,8,AL,O,error,no,error
2075957,37,retrieval_trial,2597.99999999988,no,backpack,ANIMAL,cow,4,OA,L,error,no,error
2075957,38,retrieval_trial,2838,no,living room,OBJECT,ring,15,LO,A,error,no,error
2069537,3,retrieval_trial,1311.12500000745,church,skipping rope,LOCATION,church,3,OL,A,1,church,1
2069537,4,retrieval_trial,7497.23999993876,cat,forest,ANIMAL,chicken,13,LA,O,error,cat,wc_event_error
2069537,5,retrieval_trial,9973.147,NA,carrot,LOCATION,circus,5,OL,A,error,NA,miss
2069537,6,retrieval_trial,2434.46499994025,mouse,cruise ship,ANIMAL,hamster,16,LA,O,error,mouse,wc_event_error
2069537,7,retrieval_trial,4080.79000003636,bike,bear,OBJECT,mug,12,AO,L,error,bike,wc_event_error
2069537,8,retrieval_trial,8464.34499975294,museum,dice,LOCATION,theatre,1,OL,A,error,museum,wc_event_error
2069537,9,retrieval_trial,6219.08500045538,park,backpack,LOCATION,post office,4,OL,A,error,park,wc_event_error
2069537,10,retrieval_trial,7942.9250000976,rat,railway station,ANIMAL,pig,14,LA,O,error,rat,error
2069537,11,retrieval_trial,4301.23500013724,cat,university,ANIMAL,wolf,18,LA,O,error,cat,wc_event_error
2069537,12,retrieval_trial,7602.73499973118,book,goat,OBJECT,camera,11,AO,L,error,book,wc_event_error
2069537,13,retrieval_trial,3869.55499975011,cat,living room,ANIMAL,monkey,15,LA,O,error,cat,wc_event_error
2069537,14,retrieval_trial,2744.51499991119,hill,kite,LOCATION,classroom,2,OL,A,error,hill,error
2069537,15,retrieval_trial,1820.89999970049,book,kangaroo,OBJECT,book,7,AO,L,1,book,1
2069537,16,retrieval_trial,3778.26000005007,box,flamingo,OBJECT,box,10,AO,L,1,box,1
2069537,17,retrieval_trial,3040.92500032857,hippo,gym,ANIMAL,badger,17,LA,O,error,hippo,wc_event_error
2069537,18,retrieval_trial,3118.59499989077,headphones,butterfly,OBJECT,spoon,9,AO,L,error,headphones,wc_event_error
2069537,19,retrieval_trial,8496.604999993,keys,zebra,OBJECT,ice cream,8,AO,L,error,key,wc_event_error
2069537,20,retrieval_trial,3343.89499993995,mountain,clock,LOCATION,mountain,6,OL,A,1,mountain,1
2069537,21,retrieval_trial,1497.37500026822,skipping rope,church,OBJECT,skipping rope,3,LO,A,1,skipping rope,1
2069537,22,retrieval_trial,2820.29000017792,bag,post office,OBJECT,backpack,4,LO,A,error,bag,error
2069537,23,retrieval_trial,3758.45000008121,reindeer,ice cream,ANIMAL,zebra,8,OA,L,error,reindeer,wc_event_error
2069537,24,retrieval_trial,3408.89500034973,city,monkey,LOCATION,living room,15,AL,O,error,city,wc_event_error
2069537,25,retrieval_trial,4046.24499985948,wolf,mug,ANIMAL,bear,12,OA,L,error,wolf,wc_event_error
2069537,26,retrieval_trial,1335.35499963909,kangaroo,book,ANIMAL,kangaroo,7,OA,L,1,kangaroo,1
2069537,27,retrieval_trial,3876.84000004083,museum,hamster,LOCATION,cruise ship,16,AL,O,error,museum,wc_event_error
2069537,28,retrieval_trial,6092.86000020802,airport,badger,LOCATION,gym,17,AL,O,error,aiprort,wc_event_error
2069537,29,retrieval_trial,2299.60000002757,forest,chicken,LOCATION,forest,13,AL,O,1,forest,1
2069537,30,retrieval_trial,2865.56000029668,butterfly,spoon,ANIMAL,butterfly,9,OA,L,1,butterfly,1
2069537,31,retrieval_trial,2912.50499989837,city,wolf,LOCATION,university,18,AL,O,error,city,wc_event_error
2069537,32,retrieval_trial,2276.99999976903,flamingo,box,ANIMAL,flamingo,10,OA,L,1,flamingo,1
2069537,33,retrieval_trial,5935.72500022128,knife,circus,OBJECT,carrot,5,LO,A,error,knife,error
2069537,34,retrieval_trial,5685.68000011146,chalk,classroom,OBJECT,kite,2,LO,A,error,chalk,error
2069537,35,retrieval_trial,1648.69000017643,dice,theatre,OBJECT,dice,1,LO,A,1,dice,1
2069537,36,retrieval_trial,5774.27500020713,reindeer,camera,ANIMAL,goat,11,OA,L,error,reindeer,wc_event_error
2069537,37,retrieval_trial,4105.2600000985,museum,pig,LOCATION,railway station,14,AL,O,error,museum,wc_event_error
2069537,38,retrieval_trial,1673.87000005692,clock,mountain,OBJECT,clock,6,LO,A,1,clock,1
2075962,3,retrieval_trial,4678.40999993496,station,handbag,LOCATION,stadium,19,OL,A,error,station,wc_event_error
2075962,4,retrieval_trial,2645.23999998346,aquarium,whisk,LOCATION,aquarium,21,OL,A,1,aquarium,1
2075962,5,retrieval_trial,2026.58999990672,sock,platypus,OBJECT,sock,27,AO,L,1,sock,1
2075962,6,retrieval_trial,5995.50000019372,supermarket,wallet,LOCATION,balcony,23,OL,A,error,supermarket,wc_event_error
2075962,7,retrieval_trial,7002.95499991626,NA,reindeer,OBJECT,paintbrush,29,AO,L,error,NA,miss
2075962,8,retrieval_trial,5598.80500007421,library,violin,LOCATION,garage,20,OL,A,error,library,wc_event_error
2075962,9,retrieval_trial,1973.81500015035,crocodile,bus stop,ANIMAL,crocodile,35,LA,O,1,crocodile,1
2075962,10,retrieval_trial,9990.75599999999,church,vase,LOCATION,bakery,24,OL,A,error,church,wc_event_error
2075962,11,retrieval_trial,4358.17999998108,cake,tiger,OBJECT,cake,30,AO,L,1,cake,1
2075962,12,retrieval_trial,6727.779999841,dog,hospital,ANIMAL,fox,33,LA,O,error,dog,wc_event_error
2075962,13,retrieval_trial,8922.86999989301,sock,camel,OBJECT,bike,28,AO,L,error,sock,wc_event_error
2075962,14,retrieval_trial,4895.75000014156,wolf,city,ANIMAL,frog,36,LA,O,error,wolf,wc_event_error
2075962,15,retrieval_trial,2322.93999986723,cat,jail,ANIMAL,cat,34,LA,O,1,cat,1
2075962,16,retrieval_trial,7344.40999990329,dog,bedroom,ANIMAL,tortoise,32,LA,O,error,dog,wc_event_error
2075962,17,retrieval_trial,7217.89500000887,mouse,park,ANIMAL,lion,31,LA,O,error,mouse,wc_event_error
2075962,18,retrieval_trial,4149.74499982782,headphones,dragonfly,OBJECT,headphones,25,AO,L,1,headphones,1
2075962,19,retrieval_trial,7285.90000001714,library,lamp,LOCATION,cafe,22,OL,A,error,library,wc_event_error
2075962,20,retrieval_trial,2889.51499992982,bottle,bat,OBJECT,bottle,26,AO,L,1,bottle,1
2075962,21,retrieval_trial,2012.86500017159,bat,bottle,ANIMAL,bat,26,OA,L,1,bat,1
2075962,22,retrieval_trial,6511.73499994911,owl,stadium,OBJECT,handbag,19,LO,A,error,owl,error
2075962,23,retrieval_trial,2643.51000008173,reindeer,paintbrush,ANIMAL,reindeer,29,OA,L,1,reindeer,1
2075962,24,retrieval_trial,5114.11500000395,whisk,aquarium,OBJECT,whisk,21,LO,A,1,whisk,1
2075962,25,retrieval_trial,6848.81000011228,lion,cake,ANIMAL,tiger,30,OA,L,error,lion,wc_event_error
2075962,26,retrieval_trial,4763.38499994017,library,frog,LOCATION,city,36,AL,O,error,library,wc_event_error
2075962,27,retrieval_trial,5112.17500013299,vase,bakery,OBJECT,vase,24,LO,A,1,vase,1
2075962,28,retrieval_trial,1904.64500011876,jail,cat,LOCATION,jail,34,AL,O,1,jail,1
2075962,29,retrieval_trial,9990.10100000002,NA,cafe,OBJECT,lamp,22,LO,A,error,NA,miss
2075962,30,retrieval_trial,4546.61499988288,supermarket,fox,LOCATION,hospital,33,AL,O,error,supermarket,wc_event_error
2075962,31,retrieval_trial,1503.3650000114,dragonfly,headphones,ANIMAL,dragonfly,25,OA,L,1,dragonfly,1
2075962,32,retrieval_trial,3010.40500006638,bedroom,tortoise,LOCATION,bedroom,32,AL,O,1,bedroom,1
2075962,33,retrieval_trial,1270.66999999806,camel,bike,ANIMAL,camel,28,OA,L,1,camel,1
2075962,34,retrieval_trial,5989.18999987654,mouse,garage,OBJECT,violin,20,LO,A,error,mouse,be_cat_error
2075962,35,retrieval_trial,2944.99500002712,bus stop,crocodile,LOCATION,bus stop,35,AL,O,1,busstop,1
2075962,36,retrieval_trial,7382.31000001542,cake,balcony,OBJECT,wallet,23,LO,A,error,cake,wc_event_error
2075962,37,retrieval_trial,1431.63499981165,platypus,sock,ANIMAL,platypus,27,OA,L,1,platypus,1
2075962,38,retrieval_trial,2329.8299999442,park,lion,LOCATION,park,31,AL,O,1,park,1
2075956,3,retrieval_trial,3880.55000000168,shoe,elephant,OBJECT,shoe,40,AO,L,1,shoe,1
2075956,4,retrieval_trial,4504.16500000574,museum,calculator,LOCATION,museum,52,OL,A,1,museum,1
2075956,5,retrieval_trial,8084.57000000635,fish,harbour,ANIMAL,peacock,47,LA,O,error,fish,wc_event_error
2075956,6,retrieval_trial,7942.23000000056,church,television,LOCATION,beach,53,OL,A,error,church,wc_event_error
2075956,7,retrieval_trial,8163.49999999511,phone,squirrel,OBJECT,drum,39,AO,L,error,phone,wc_event_error
2075956,8,retrieval_trial,8810.42999999772,bee,casino,ANIMAL,octopus,43,LA,O,error,bee,wc_event_error
2075956,9,retrieval_trial,9268.20000000589,fish,nightclub,ANIMAL,aardvark,45,LA,O,error,fish,wc_event_error
2075956,10,retrieval_trial,9980.307,wis,penguin,OBJECT,whistle,41,AO,L,error,wis,error
2075956,11,retrieval_trial,8055.37999999069,river,screwdriver,LOCATION,factory,49,OL,A,error,river,wc_event_error
2075956,12,retrieval_trial,9979.60100000002,bakerr,flower,LOCATION,basement,50,OL,A,error,bakerr,wc_event_error
2075956,13,retrieval_trial,5964.68999999342,candle,bee,OBJECT,candle,38,AO,L,1,candle,1
2075956,14,retrieval_trial,8353.14500000095,panda,cave,ANIMAL,dog,46,LA,O,error,panda,wc_event_error
2075956,15,retrieval_trial,8177.08000000857,umbrella,horse,OBJECT,phone,37,AO,L,error,umbrella,wc_event_error
2075956,16,retrieval_trial,9979.90100000001,NA,necklace,LOCATION,vineyard,51,OL,A,error,NA,miss
2075956,17,retrieval_trial,7497.48999999429,classroom,hammer,LOCATION,pharmacy,54,OL,A,error,classroom,wc_event_error
2075956,18,retrieval_trial,9979.734,ba,car park,ANIMAL,hippo,44,LA,O,error,ba,error
2075956,19,retrieval_trial,6690.4349999968,duck,windmill,ANIMAL,duck,48,LA,O,1,duck,1
2075956,20,retrieval_trial,5511.05000000098,balloon,rabbit,OBJECT,balloon,42,AO,L,1,balloon,1
2075956,21,retrieval_trial,6726.73000000941,panda,whistle,ANIMAL,penguin,41,OA,L,error,panda,wc_event_error
2075956,22,retrieval_trial,6063.24499999755,whake,vineyard,OBJECT,necklace,51,LO,A,error,whake,we_cat_error
2075956,23,retrieval_trial,8067.39999999991,cow,phone,ANIMAL,horse,37,OA,L,error,cow,wc_event_error
2075956,24,retrieval_trial,7454.98000000953,bat,shoe,ANIMAL,elephant,40,OA,L,error,bat,wc_event_error
2075956,25,retrieval_trial,5647.66000000236,windmill,duck,LOCATION,windmill,48,AL,O,1,windmill,1
2075956,26,retrieval_trial,7323.28000001144,parl,octopus,LOCATION,casino,43,AL,O,error,parl,error
2075956,27,retrieval_trial,8879.1099999944,hammer,pharmacy,OBJECT,hammer,54,LO,A,1,hammer,1
2075956,28,retrieval_trial,8545.65999998886,kitchen,hippo,LOCATION,car park,44,AL,O,error,kitchen,wc_event_error
2075956,29,retrieval_trial,3490.55499999668,cave,dog,LOCATION,cave,46,AL,O,1,cave,1
2075956,30,retrieval_trial,9606.5399999934,dog,candle,ANIMAL,bee,38,OA,L,error,dog,wc_event_error
2075956,31,retrieval_trial,2983.229999998,harbour,peacock,LOCATION,harbour,47,AL,O,1,harbour,1
2075956,32,retrieval_trial,5857.38000000129,sock,basement,OBJECT,flower,50,LO,A,error,sock,wc_event_error
2075956,33,retrieval_trial,8164.94499999681,candke,museum,OBJECT,calculator,52,LO,A,error,candke,wc_event_error
2075956,34,retrieval_trial,8896.76000000327,wolf,balloon,ANIMAL,rabbit,42,OA,L,error,wolf,wc_event_error
2075956,35,retrieval_trial,6702.35500000126,mouse,beach,OBJECT,television,53,LO,A,error,mouse,we_cat_error
2075956,36,retrieval_trial,5947.1399999893,screwdriver,factory,OBJECT,screwdriver,49,LO,A,1,screwdriver,1
2075956,37,retrieval_trial,8252.69000000844,froh,drum,ANIMAL,squirrel,39,OA,L,error,froh,wc_event_error
2075956,38,retrieval_trial,5863.99500000698,nightclub,aardvark,LOCATION,nightclub,45,AL,O,1,nightclub,1
2069383,3,retrieval_trial,8217.42499992251,toothbrush,dog,OBJECT,toothbrush,46,AO,L,1,toothbrush,1
2069383,4,retrieval_trial,2739.45500003174,lake,candle,LOCATION,lake,38,OL,A,1,lake,1
2069383,5,retrieval_trial,9982.90800000001,NA,peacock,OBJECT,jigsaw,47,AO,L,error,NA,miss
2069383,6,retrieval_trial,3987.67499998212,hat,aardvark,OBJECT,pen,45,AO,L,error,hat,wc_event_error
2069383,7,retrieval_trial,5968.11499982141,paintbrush,duck,OBJECT,jacket,48,AO,L,error,paintbrush,wc_event_error
2069383,8,retrieval_trial,3173.75499987975,scissors,octopus,OBJECT,scissors,43,AO,L,1,scissors,1
2069383,9,retrieval_trial,3746.35999999009,cinema,shoe,LOCATION,cinema,40,OL,A,1,cinema,1
2069383,10,retrieval_trial,7602.03000018373,ant,pharmacy,ANIMAL,beaver,54,LA,O,error,ant,wc_event_error
2069383,11,retrieval_trial,9306.76999990828,bird,beach,ANIMAL,mouse,53,LA,O,error,bird,error
2069383,12,retrieval_trial,4713.20999995805,library,whistle,LOCATION,library,41,OL,A,1,library,1
2069383,13,retrieval_trial,9983.58099999998,NA,museum,ANIMAL,crab,52,LA,O,error,NA,miss
2069383,14,retrieval_trial,7864.770000102,tiger,vineyard,ANIMAL,whale,51,LA,O,error,tiger,wc_event_error
2069383,15,retrieval_trial,9983.196,cr,balloon,LOCATION,swimming pool,42,OL,A,error,cr,error
2069383,16,retrieval_trial,6590.22999997251,lion,basement,ANIMAL,ostrich,50,LA,O,error,lion,wc_event_error
2069383,17,retrieval_trial,4747.74000002071,binoculars,hippo,OBJECT,binoculars,44,AO,L,1,binoculars,1
2069383,18,retrieval_trial,3884.47499996983,kitchen,phone,LOCATION,kitchen,37,OL,A,1,kitchen,1
2069383,19,retrieval_trial,3039.70999992453,garage,drum,LOCATION,supermarket,39,OL,A,error,garge,wc_event_error
2069383,20,retrieval_trial,7554.92000002414,tiger,factory,ANIMAL,lobster,49,LA,O,error,tiger,wc_event_error
2069383,21,retrieval_trial,3606.39500012621,phone,kitchen,OBJECT,phone,37,LO,A,1,phone,1
2069383,22,retrieval_trial,4607.61500010267,library,mouse,LOCATION,beach,53,AL,O,error,library,wc_event_error
2069383,23,retrieval_trial,3705.02999983728,library,beaver,LOCATION,pharmacy,54,AL,O,error,library,wc_event_error
2069383,24,retrieval_trial,5742.90499999188,octopus,scissors,ANIMAL,octopus,43,OA,L,1,octopus,1
2069383,25,retrieval_trial,5192.69499997608,whistle,library,OBJECT,whistle,41,LO,A,1,whistle,1
2069383,26,retrieval_trial,9983.19999999995,NA,ostrich,LOCATION,basement,50,AL,O,error,NA,miss
2069383,27,retrieval_trial,3273.80999992602,ostrich,jigsaw,ANIMAL,peacock,47,OA,L,error,ostrich,wc_event_error
2069383,28,retrieval_trial,3227.49499999918,drums,supermarket,OBJECT,drum,39,LO,A,1,drums,1
2069383,29,retrieval_trial,7084.46000004187,garage,lobster,LOCATION,factory,49,AL,O,error,garage,wc_event_error
2069383,30,retrieval_trial,5311.86499982141,mountain,whale,LOCATION,vineyard,51,AL,O,error,mountain,wc_event_error
2069383,31,retrieval_trial,4829.70999996178,balloon,swimming pool,OBJECT,balloon,42,LO,A,1,ballon,1
2069383,32,retrieval_trial,6961.74499997869,lion,jacket,ANIMAL,duck,48,OA,L,error,lion,wc_event_error
2069383,33,retrieval_trial,8223.62499986775,aardvark,pen,ANIMAL,aardvark,45,OA,L,1,aard,1
2069383,34,retrieval_trial,9983.25,NA,cinema,OBJECT,shoe,40,LO,A,error,NA,miss
2069383,35,retrieval_trial,9983.21299999999,NA,crab,LOCATION,museum,52,AL,O,error,NA,miss
2069383,36,retrieval_trial,2963.69499992579,dog,toothbrush,ANIMAL,dog,46,OA,L,1,dog,1
2069383,37,retrieval_trial,1948.34500015713,hippo,binoculars,ANIMAL,hippo,44,OA,L,1,hippo,1
2069383,38,retrieval_trial,4218.92499993555,candle,lake,OBJECT,candle,38,LO,A,1,candle,1
2069365,3,retrieval_trial,3856,elephant,supermarket,ANIMAL,squirrel,39,LA,O,error,elephant,wc_event_error
2069365,4,retrieval_trial,2761,harbour,jigsaw,LOCATION,harbour,47,OL,A,1,harbour,1
