participant_private_id,trial_number,eventno,category_cue,response,target,manual_rating
2075957,3,13,LOCATION,no idea,forest,error
2075957,4,5,OBJECT,no idea,carrot,error
2075957,5,10,ANIMAL,i can't do this,flamingo,error
2075957,6,11,ANIMAL,lll,goat,error
2075957,7,15,LOCATION,kkk,living room,error
2075957,8,8,ANIMAL,no,zebra,error
2075957,11,3,OBJECT,i can't type quick,skipping rope,error
2075957,12,17,LOCATION,enough,gym,error
2075957,13,1,OBJECT,nnn,dice,error
2075957,14,16,LOCATION,no,cruise ship,error
2075957,15,9,ANIMAL,no,butterfly,error
2075957,16,2,OBJECT,?,kite,error
2075957,17,4,OBJECT,?,backpack,error
2075957,18,6,OBJECT,?,clock,error
2075957,19,7,ANIMAL,?,kangaroo,error
2075957,20,14,LOCATION,i remember,railway station,error
2075957,25,3,ANIMAL,no,sheep,error
2075957,27,17,OBJECT,no,chainsaw,error
2075957,28,1,ANIMAL,no,fish,error
2075957,29,9,LOCATION,no,bank,error
2075957,33,5,ANIMAL,no,spider,error
2075957,34,6,ANIMAL,no,giraffe,error
2075957,35,11,LOCATION,no,garden,error
2075957,36,8,LOCATION,no,waterfall,error
2075957,37,4,ANIMAL,no,cow,error
2075957,38,15,OBJECT,no,ring,error
2069537,10,14,ANIMAL,rat,pig,error
2069537,14,2,LOCATION,hill,classroom,error
2069537,22,4,OBJECT,bag,backpack,error
2069537,33,5,OBJECT,knife,carrot,error
2069537,34,2,OBJECT,chalk,kite,error
2075962,3,19,LOCATION,station,stadium,error
2075962,22,19,OBJECT,owl,handbag,error
2075956,10,41,OBJECT,wis,whistle,1
2075956,12,50,LOCATION,bakerr,basement,"wrong event, correct category"
2075956,18,44,ANIMAL,ba,hippo,error
2075956,22,51,OBJECT,whake,necklace,"correct event, wrong category"
2075956,26,43,LOCATION,parl,casino,error
2075956,33,52,OBJECT,candke,calculator,"wrong event, correct category"
2075956,37,39,ANIMAL,froh,squirrel,"wrong event, correct category"
2069383,11,53,ANIMAL,bird,mouse,error
2069383,15,42,LOCATION,cr,swimming pool,error
2069383,28,39,OBJECT,drums,drum,1
2069365,6,45,LOCATION,house,nightclub,error
2069365,8,50,OBJECT,feather,flower,error
2069365,9,46,LOCATION,house,cave,error
2069365,13,52,OBJECT,paper,calculator,error
2069365,15,54,OBJECT,sunglasses,hammer,error
2069365,19,49,OBJECT,paper,screwdriver,error
2069365,29,46,OBJECT,paper,toothbrush,error
2069365,33,44,OBJECT,watch,binoculars,error
2069365,38,47,OBJECT,game,jigsaw,error
2069522,8,49,OBJECT,chalk,screwdriver,error
2069522,17,53,OBJECT,ticket,television,error
2069522,19,48,LOCATION,downtown,windmill,error
2069522,28,39,LOCATION,grocery store,supermarket,1
2069522,29,48,OBJECT,knife,jacket,error
2069522,36,38,LOCATION,restaraunt,lake,"wrong event, correct category"
2075946,18,49,OBJECT,watch,screwdriver,error
2075946,38,47,OBJECT,ostruch,jigsaw,"wrong event, wrong category"
2069372,8,14,LOCATION,owl,railway station,error
2069372,10,12,ANIMAL,bird,bear,error
2069372,11,3,OBJECT,jumprope,skipping rope,1
2069372,14,4,OBJECT,knitting,backpack,error
2069372,17,17,LOCATION,woods,gym,error
2069372,19,2,OBJECT,sewingkit,kite,error
2075952,9,15,LOCATION,lounge,living room,1
2075952,26,12,LOCATION,k,lighthouse,error
2070024,5,7,OBJECT,tre,book,"correct event, wrong category"
2070024,6,12,OBJECT,cup,mug,1
2070024,23,14,LOCATION,train station,railway station,1
2075950,22,16,LOCATION,house,cruise ship,error
2075950,25,15,LOCATION,house,living room,error
2076070,3,8,OBJECT,shovel,ice cream,error
2076070,10,17,ANIMAL,rat,badger,error
2076070,16,14,ANIMAL,arva,pig,error
2076070,20,9,OBJECT,paper,spoon,error
2076070,29,5,OBJECT,rat,carrot,error
2076070,32,3,OBJECT,jumprope,skipping rope,1
2069370,5,20,LOCATION,woods,garage,error
2069370,14,25,OBJECT,shirt,headphones,error
2069370,15,30,OBJECT,brad,cake,error
2069370,16,19,LOCATION,office,stadium,error
2069370,17,35,ANIMAL,fly,crocodile,error
2069370,18,24,LOCATION,shop,bakery,error
2069370,29,20,OBJECT,flowers,violin,"wrong event, correct category"
2075953,5,29,OBJECT,coat,paintbrush,error
2075953,23,20,OBJECT,llmp,violin,"wrong event, correct category"
2075953,25,24,OBJECT,cabinet,vase,error
2075953,32,35,LOCATION,bus stop#,bus stop,1
2075953,34,21,OBJECT,mask,whisk,error
2075953,35,19,OBJECT,bba,handbag,error
2075961,6,51,LOCATION,meadow,vineyard,error
2075961,20,49,LOCATION,store,factory,error
2075961,23,48,LOCATION,house,windmill,error
2075961,27,39,ANIMAL,bird,squirrel,error
2075961,34,44,LOCATION,school,car park,error
2075961,38,53,OBJECT,blanket,television,error
2069368,9,40,LOCATION,shop,cinema,error
2069368,14,53,ANIMAL,snail,mouse,error
2069368,20,43,OBJECT,scisscors,scissors,1
2069368,21,49,LOCATION,shop,factory,error
2075959,5,54,OBJECT,orange,hammer,error
2075959,23,46,OBJECT,bag,toothbrush,error
2075959,27,44,OBJECT,a,binoculars,error
2075959,30,47,OBJECT,scirrors,jigsaw,"wrong event, correct category"
2075959,37,41,LOCATION,bec,library,error
2080727,17,3,OBJECT,jumping rope,skipping rope,1
2080749,4,10,OBJECT,brush,box,error
2080749,5,5,LOCATION,field,circus,error
2080749,15,14,ANIMAL,coow\,pig,"wrong event, correct category"
2080749,19,7,OBJECT,chair],book,error
2080749,20,4,LOCATION,fiedll,post office,error
2080749,23,18,LOCATION,clivibn,university,error
2080749,26,17,LOCATION,field,gym,error
2080749,27,7,ANIMAL,camek,kangaroo,"wrong event, correct category"
2080749,29,15,LOCATION,field,living room,error
2080749,31,13,LOCATION,field,forest,error
2080749,33,6,OBJECT,tre,clock,error
