Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Randomise questionnaire elements?,Question Key,Response
1,1602144062456,08/10/2020 08:01:02,1602144059874,1,08/10/2020 09:00:59,20655,18,questionnaire-clby,,7120344,BLIND,2069364,,complete,,5f7ec718ac1d2d1a797f464a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1140x647,,Background session 1,1,11,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1602144075588,08/10/2020 08:01:15,1602144072901,1,08/10/2020 09:01:12,20655,18,questionnaire-clby,,7120344,BLIND,2069364,,complete,,5f7ec718ac1d2d1a797f464a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1140x647,,Background session 1,1,11,attention-pass,attention-pass,No,gender,Female
3,1602144075698,08/10/2020 08:01:15,1602144072904,1,08/10/2020 09:01:12,20655,18,questionnaire-clby,,7120344,BLIND,2069364,,complete,,5f7ec718ac1d2d1a797f464a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1140x647,,Background session 1,1,11,attention-pass,attention-pass,No,gender-quantised,2
4,1602144075698,08/10/2020 08:01:15,1602144072904,1,08/10/2020 09:01:12,20655,18,questionnaire-clby,,7120344,BLIND,2069364,,complete,,5f7ec718ac1d2d1a797f464a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1140x647,,Background session 1,1,11,attention-pass,attention-pass,No,gender-text,
5,1602144075698,08/10/2020 08:01:15,1602144072904,1,08/10/2020 09:01:12,20655,18,questionnaire-clby,,7120344,BLIND,2069364,,complete,,5f7ec718ac1d2d1a797f464a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1140x647,,Background session 1,1,11,attention-pass,attention-pass,No,response-2-inmonths,330
6,1602144075698,08/10/2020 08:01:15,1602144072904,1,08/10/2020 09:01:12,20655,18,questionnaire-clby,,7120344,BLIND,2069364,,complete,,5f7ec718ac1d2d1a797f464a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1140x647,,Background session 1,1,11,attention-pass,attention-pass,No,END QUESTIONNAIRE,13030
1,1602144072287,08/10/2020 08:01:12,1602144072213,1,08/10/2020 09:01:12,20655,18,questionnaire-clby,,7120346,BLIND,2069363,,complete,,5f7ec71fb2b06d1aa9aaddb7,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 84.0.4147.135,1440x900,1440x744,,Background session 1,1,8,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1602144084461,08/10/2020 08:01:24,1602144084412,1,08/10/2020 09:01:24,20655,18,questionnaire-clby,,7120346,BLIND,2069363,,complete,,5f7ec71fb2b06d1aa9aaddb7,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 84.0.4147.135,1440x900,1440x744,,Background session 1,1,8,attention-pass,attention-pass,No,gender,Female
3,1602144084523,08/10/2020 08:01:24,1602144084414,1,08/10/2020 09:01:24,20655,18,questionnaire-clby,,7120346,BLIND,2069363,,complete,,5f7ec71fb2b06d1aa9aaddb7,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 84.0.4147.135,1440x900,1440x744,,Background session 1,1,8,attention-pass,attention-pass,No,gender-quantised,2
4,1602144084523,08/10/2020 08:01:24,1602144084414,1,08/10/2020 09:01:24,20655,18,questionnaire-clby,,7120346,BLIND,2069363,,complete,,5f7ec71fb2b06d1aa9aaddb7,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 84.0.4147.135,1440x900,1440x744,,Background session 1,1,8,attention-pass,attention-pass,No,gender-text,
