Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,cue,category_cue,target,eventno,pairtype,untested_element
1,1602317680085,10/10/2020 08:14:40,1602317681275,-4,10/10/2020 04:14:41,20655,19,task-2ieh,,7156483,BLIND,2080734,,complete,,5f816aa2552aab0107c456d1,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1276x949,,Retrieval/Reexposure,27,5,attention-pass,attention-pass,5_ret_reex,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,
2,1602317701556,10/10/2020 08:15:01,1602317702790,-4,10/10/2020 04:15:02,20655,19,task-2ieh,,7156483,BLIND,2080734,,complete,,5f816aa2552aab0107c456d1,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1276x949,,Retrieval/Reexposure,27,5,attention-pass,attention-pass,5_ret_reex,5_ret_reex,1,1,1,ret_inst1,advancementZone,continue_button,20920,,,,,0,1,0,,,,,,retfirst_instructions,,,,,,,
3,1602317704327,10/10/2020 08:15:04,1602317705539,-4,10/10/2020 04:15:05,20655,19,task-2ieh,,7156483,BLIND,2080734,,complete,,5f816aa2552aab0107c456d1,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1276x949,,Retrieval/Reexposure,27,5,attention-pass,attention-pass,5_ret_reex,5_ret_reex,1,1,2,ret_inst2,advancementZone,continue_button,2733,,,,,0,1,0,,,,,,retfirst_instructions,,,,,,,
4,1602317705593,10/10/2020 08:15:05,1602317706801,-4,10/10/2020 04:15:06,20655,19,task-2ieh,,7156483,BLIND,2080734,,complete,,5f816aa2552aab0107c456d1,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1276x949,,Retrieval/Reexposure,27,5,attention-pass,attention-pass,5_ret_reex,5_ret_reex,1,1,3,ret_inst3,advancementZone,continue_button,1248,,,,,0,1,0,,,,,,retfirst_instructions,,,,,,,
5,1602317706049,10/10/2020 08:15:06,1602317707292,-4,10/10/2020 04:15:07,20655,19,task-2ieh,,7156483,BLIND,2080734,,complete,,5f816aa2552aab0107c456d1,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1276x949,,Retrieval/Reexposure,27,5,attention-pass,attention-pass,5_ret_reex,5_ret_reex,1,1,4,iti,Zone1,timelimit_screen,500,,,,,0,1,0,,,1,,,retfirst_instructions,,,,,,,
6,1602317706612,10/10/2020 08:15:06,1602317707842,-4,10/10/2020 04:15:07,20655,19,task-2ieh,,7156483,BLIND,2080734,,complete,,5f816aa2552aab0107c456d1,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1276x949,,Retrieval/Reexposure,27,5,attention-pass,attention-pass,5_ret_reex,5_ret_reex,2,1,1,fixation,fixation,fixation,550,,,,,0,1,0,,,,,,retrieval_trial,,meerkat,LOCATION,airport,55,AL,O
7,1602317716604,10/10/2020 08:15:16,1602317717832,-4,10/10/2020 04:15:17,20655,19,task-2ieh,,7156483,BLIND,2080734,,complete,,5f816aa2552aab0107c456d1,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1276x949,,Retrieval/Reexposure,27,5,attention-pass,attention-pass,5_ret_reex,5_ret_reex,2,1,2,ret_stimuli,Zone8,response_text_entry,9983.34,,,,,0,1,0,,,,,,retrieval_trial,,meerkat,LOCATION,airport,55,AL,O
8,1602317716729,10/10/2020 08:15:16,1602317717838,-4,10/10/2020 04:15:17,20655,19,task-2ieh,,7156483,BLIND,2080734,,complete,,5f816aa2552aab0107c456d1,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1276x949,,Retrieval/Reexposure,27,5,attention-pass,attention-pass,5_ret_reex,5_ret_reex,2,1,2,ret_stimuli,Zone3,timelimit_screen,9983.34,,,n/a,,0,1,0,,,1,,,retrieval_trial,,meerkat,LOCATION,airport,55,AL,O
9,1602317719612,10/10/2020 08:15:19,1602317720841,-4,10/10/2020 04:15:20,20655,19,task-2ieh,,7156483,BLIND,2080734,,complete,,5f816aa2552aab0107c456d1,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1276x949,,Retrieval/Reexposure,27,5,attention-pass,attention-pass,5_ret_reex,5_ret_reex,2,1,3,please_guess,Zone2,timelimit_screen,3000,,,,,0,1,0,,,1,,,retrieval_trial,,meerkat,LOCATION,airport,55,AL,O
10,1602317723611,10/10/2020 08:15:23,1602317724830,-4,10/10/2020 04:15:24,20655,19,task-2ieh,,7156483,BLIND,2080734,,complete,,5f816aa2552aab0107c456d1,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1276x949,,Retrieval/Reexposure,27,5,attention-pass,attention-pass,5_ret_reex,5_ret_reex,2,1,5,feedback,Zone3,timelimit_screen,4001.8600000000006,,,n/a,,0,1,0,,,1,,,retrieval_trial,,meerkat,LOCATION,airport,55,AL,O
