Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,cue,category_cue,target,eventno,pairtype,untested_element
1,1602317795111,10/10/2020 08:16:35,1602317793927,1,10/10/2020 09:16:33,20655,19,task-eo88,,7156497,BLIND,2080742,,complete,,5f816a8fce193e2205cbb31d,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1354x764,,Retrieval/Reexposure,27,10,attention-pass,attention-pass,10_reex_ret,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,
2,1602317814340,10/10/2020 08:16:54,1602317812935,1,10/10/2020 09:16:52,20655,19,task-eo88,,7156497,BLIND,2080742,,complete,,5f816a8fce193e2205cbb31d,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1354x764,,Retrieval/Reexposure,27,10,attention-pass,attention-pass,10_reex_ret,10_reex_ret,1,1,1,reex_inst1,advancementZone,continue_button,18321,,,,,0,1,0,,,,,,reexfirst_instructions,,,,,,,
3,1602317822388,10/10/2020 08:17:02,1602317821275,1,10/10/2020 09:17:01,20655,19,task-eo88,,7156497,BLIND,2080742,,complete,,5f816a8fce193e2205cbb31d,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1354x764,,Retrieval/Reexposure,27,10,attention-pass,attention-pass,10_reex_ret,10_reex_ret,1,1,2,reex_inst2,advancementZone,continue_button,8325,,,,,0,1,0,,,,,,reexfirst_instructions,,,,,,,
4,1602317822873,10/10/2020 08:17:02,1602317821763,1,10/10/2020 09:17:01,20655,19,task-eo88,,7156497,BLIND,2080742,,complete,,5f816a8fce193e2205cbb31d,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1354x764,,Retrieval/Reexposure,27,10,attention-pass,attention-pass,10_reex_ret,10_reex_ret,1,1,3,iti,Zone1,timelimit_screen,501,,,,,0,1,0,,,1,,,reexfirst_instructions,,,,,,,
5,1602317823423,10/10/2020 08:17:03,1602317822312,1,10/10/2020 09:17:02,20655,19,task-eo88,,7156497,BLIND,2080742,,complete,,5f816a8fce193e2205cbb31d,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1354x764,,Retrieval/Reexposure,27,10,attention-pass,attention-pass,10_reex_ret,10_reex_ret,2,1,1,fixation,fixation,fixation,550,,,,,0,1,0,,,,,,reexposure_trial,,map,ANIMAL,meerkat,55,OA,L
6,1602317833398,10/10/2020 08:17:13,1602317832288,1,10/10/2020 09:17:12,20655,19,task-eo88,,7156497,BLIND,2080742,,complete,,5f816a8fce193e2205cbb31d,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1354x764,,Retrieval/Reexposure,27,10,attention-pass,attention-pass,10_reex_ret,10_reex_ret,2,1,2,reex_stimuli,Zone3,timelimit_screen,9976,,,,,0,1,0,,,1,,,reexposure_trial,,map,ANIMAL,meerkat,55,OA,L
7,1602317833898,10/10/2020 08:17:13,1602317832788,1,10/10/2020 09:17:12,20655,19,task-eo88,,7156497,BLIND,2080742,,complete,,5f816a8fce193e2205cbb31d,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1354x764,,Retrieval/Reexposure,27,10,attention-pass,attention-pass,10_reex_ret,10_reex_ret,2,1,3,iti,Zone1,timelimit_screen,499,,,,,0,1,0,,,1,,,reexposure_trial,,map,ANIMAL,meerkat,55,OA,L
8,1602317834570,10/10/2020 08:17:14,1602317833340,1,10/10/2020 09:17:13,20655,19,task-eo88,,7156497,BLIND,2080742,,complete,,5f816a8fce193e2205cbb31d,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1354x764,,Retrieval/Reexposure,27,10,attention-pass,attention-pass,10_reex_ret,10_reex_ret,3,2,1,fixation,fixation,fixation,553,,,,,0,1,0,,,,,,reexposure_trial,,shark,LOCATION,campsite,56,AL,O
9,1602317844442,10/10/2020 08:17:24,1602317843328,1,10/10/2020 09:17:23,20655,19,task-eo88,,7156497,BLIND,2080742,,complete,,5f816a8fce193e2205cbb31d,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1354x764,,Retrieval/Reexposure,27,10,attention-pass,attention-pass,10_reex_ret,10_reex_ret,3,2,2,reex_stimuli,Zone3,timelimit_screen,9988,,,,,0,1,0,,,1,,,reexposure_trial,,shark,LOCATION,campsite,56,AL,O
10,1602317844942,10/10/2020 08:17:24,1602317843833,1,10/10/2020 09:17:23,20655,19,task-eo88,,7156497,BLIND,2080742,,complete,,5f816a8fce193e2205cbb31d,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1354x764,,Retrieval/Reexposure,27,10,attention-pass,attention-pass,10_reex_ret,10_reex_ret,3,2,3,iti,Zone1,timelimit_screen,504,,,,,0,1,0,,,1,,,reexposure_trial,,shark,LOCATION,campsite,56,AL,O
