Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,animal,location,object,eventno
1,1602316975600,10/10/2020 08:02:55,1602317025412,1,10/10/2020 09:03:45,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,1206x596,,Encoding,16,11,attention-pass,attention-pass,encoding,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1602316979058,10/10/2020 08:02:59,1602317028950,1,10/10/2020 09:03:48,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,1206x596,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,1,1,1,inst1,Zone2,continue_button,3444.5700000505894,,,,,0,1,0,,,,,,instructions,,,,
3,1602316989759,10/10/2020 08:03:09,1602317039675,1,10/10/2020 09:03:59,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,1206x596,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,1,1,2,inst2,advancementZone,continue_button,10702.799999853596,,,,,0,1,0,,,,,,instructions,,,,
4,1602317006740,10/10/2020 08:03:26,1602317056648,1,10/10/2020 09:04:16,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,1206x596,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,1,1,3,inst3,Zone5,continue_button,16954.849999863654,,,,,0,1,0,,,,,,instructions,,,,
5,1602317007256,10/10/2020 08:03:27,1602317057151,1,10/10/2020 09:04:17,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,1206x596,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,1,1,4,iti,fixation,timelimit_screen,500.2199999999975,,,,,0,1,0,,,1,,,instructions,,,,
6,1602317007787,10/10/2020 08:03:27,1602317057691,1,10/10/2020 09:04:17,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,1206x596,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,2,1,1,fixation,fixation,fixation,550.242000000002,,,,,0,1,0,,,,,,encoding_trial,meerkat,map,airport,55
7,1602317013865,10/10/2020 08:03:33,1602317063678,1,10/10/2020 09:04:23,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,1206x596,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,2,1,2,stimuli,timelimit,timelimit_screen,5985.966,,,,,0,1,0,,,1,,,encoding_trial,meerkat,map,airport,55
8,1602317014271,10/10/2020 08:03:34,1602317064179,1,10/10/2020 09:04:24,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,1206x596,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,2,1,3,iti,fixation,timelimit_screen,500.22000000000116,,,,,0,1,0,,,1,,,encoding_trial,meerkat,map,airport,55
9,1602317014833,10/10/2020 08:03:34,1602317064732,1,10/10/2020 09:04:24,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,1206x596,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,3,2,1,fixation,fixation,fixation,554.0879999999961,,,,,0,1,0,,,,,,encoding_trial,shark,torch,campsite,56
10,1602317020827,10/10/2020 08:03:40,1602317070719,1,10/10/2020 09:04:30,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,1206x596,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,3,2,2,stimuli,timelimit,timelimit_screen,5985.966,,,,,0,1,0,,,1,,,encoding_trial,shark,torch,campsite,56
