Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Randomise questionnaire elements?,Question Key,Response
1,1.60241E+12,11/10/2020 08:33,1.60241E+12,11,11/10/2020 19:33,20655,20,questionnaire-kzn1,,7166625,BLIND,2083601,,complete,,5f82bdc1fb3ac80008a9aeba,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1280x720,1280x610,,End Survey - Session 1,6,12,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60241E+12,11/10/2020 08:36,1.60241E+12,11,11/10/2020 19:36,20655,20,questionnaire-kzn1,,7166625,BLIND,2083601,,complete,,5f82bdc1fb3ac80008a9aeba,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1280x720,1280x610,,End Survey - Session 1,6,12,attention-pass,attention-pass,No,strategy-describe,
3,1.60241E+12,11/10/2020 08:36,1.60241E+12,11,11/10/2020 19:36,20655,20,questionnaire-kzn1,,7166625,BLIND,2083601,,complete,,5f82bdc1fb3ac80008a9aeba,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1280x720,1280x610,,End Survey - Session 1,6,12,attention-pass,attention-pass,No,strategy-people,
4,1.60241E+12,11/10/2020 08:36,1.60241E+12,11,11/10/2020 19:36,20655,20,questionnaire-kzn1,,7166625,BLIND,2083601,,complete,,5f82bdc1fb3ac80008a9aeba,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1280x720,1280x610,,End Survey - Session 1,6,12,attention-pass,attention-pass,No,strategy-aid,
5,1.60241E+12,11/10/2020 08:36,1.60241E+12,11,11/10/2020 19:36,20655,20,questionnaire-kzn1,,7166625,BLIND,2083601,,complete,,5f82bdc1fb3ac80008a9aeba,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1280x720,1280x610,,End Survey - Session 1,6,12,attention-pass,attention-pass,No,strategy-misc,
6,1.60241E+12,11/10/2020 08:36,1.60241E+12,11,11/10/2020 19:36,20655,20,questionnaire-kzn1,,7166625,BLIND,2083601,,complete,,5f82bdc1fb3ac80008a9aeba,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1280x720,1280x610,,End Survey - Session 1,6,12,attention-pass,attention-pass,No,END QUESTIONNAIRE,137424
1,1.60241E+12,11/10/2020 08:34,1.60241E+12,1,11/10/2020 09:34,20655,20,questionnaire-kzn1,,7166630,BLIND,2083602,,complete,,5f82bdb5f7c3cd000832c72b,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1173x814,,End Survey - Session 1,6,5,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60241E+12,11/10/2020 08:35,1.60241E+12,1,11/10/2020 09:35,20655,20,questionnaire-kzn1,,7166630,BLIND,2083602,,complete,,5f82bdb5f7c3cd000832c72b,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1173x814,,End Survey - Session 1,6,5,attention-pass,attention-pass,No,strategy-describe,
3,1.60241E+12,11/10/2020 08:35,1.60241E+12,1,11/10/2020 09:35,20655,20,questionnaire-kzn1,,7166630,BLIND,2083602,,complete,,5f82bdb5f7c3cd000832c72b,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1173x814,,End Survey - Session 1,6,5,attention-pass,attention-pass,No,strategy-people,
4,1.60241E+12,11/10/2020 08:35,1.60241E+12,1,11/10/2020 09:35,20655,20,questionnaire-kzn1,,7166630,BLIND,2083602,,complete,,5f82bdb5f7c3cd000832c72b,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1173x814,,End Survey - Session 1,6,5,attention-pass,attention-pass,No,strategy-aid,
5,1.60241E+12,11/10/2020 08:35,1.60241E+12,1,11/10/2020 09:35,20655,20,questionnaire-kzn1,,7166630,BLIND,2083602,,complete,,5f82bdb5f7c3cd000832c72b,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1173x814,,End Survey - Session 1,6,5,attention-pass,attention-pass,No,strategy-misc,
6,1.60241E+12,11/10/2020 08:35,1.60241E+12,1,11/10/2020 09:35,20655,20,questionnaire-kzn1,,7166630,BLIND,2083602,,complete,,5f82bdb5f7c3cd000832c72b,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1173x814,,End Survey - Session 1,6,5,attention-pass,attention-pass,No,END QUESTIONNAIRE,48596
1,1.60241E+12,11/10/2020 08:34,1.60241E+12,-7,11/10/2020 01:34,20655,20,questionnaire-kzn1,,7166631,BLIND,2083614,,complete,,5f82bdefe9570f3dc925b147,computer,Desktop or Laptop,Mac OS 10.11,Firefox 78.0,1440x900,1055x694,,End Survey - Session 1,6,13,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60241E+12,11/10/2020 08:35,1.60241E+12,-7,11/10/2020 01:35,20655,20,questionnaire-kzn1,,7166631,BLIND,2083614,,complete,,5f82bdefe9570f3dc925b147,computer,Desktop or Laptop,Mac OS 10.11,Firefox 78.0,1440x900,1055x694,,End Survey - Session 1,6,13,attention-pass,attention-pass,No,strategy-describe,
3,1.60241E+12,11/10/2020 08:35,1.60241E+12,-7,11/10/2020 01:35,20655,20,questionnaire-kzn1,,7166631,BLIND,2083614,,complete,,5f82bdefe9570f3dc925b147,computer,Desktop or Laptop,Mac OS 10.11,Firefox 78.0,1440x900,1055x694,,End Survey - Session 1,6,13,attention-pass,attention-pass,No,strategy-people,
4,1.60241E+12,11/10/2020 08:35,1.60241E+12,-7,11/10/2020 01:35,20655,20,questionnaire-kzn1,,7166631,BLIND,2083614,,complete,,5f82bdefe9570f3dc925b147,computer,Desktop or Laptop,Mac OS 10.11,Firefox 78.0,1440x900,1055x694,,End Survey - Session 1,6,13,attention-pass,attention-pass,No,strategy-aid,
5,1.60241E+12,11/10/2020 08:35,1.60241E+12,-7,11/10/2020 01:35,20655,20,questionnaire-kzn1,,7166631,BLIND,2083614,,complete,,5f82bdefe9570f3dc925b147,computer,Desktop or Laptop,Mac OS 10.11,Firefox 78.0,1440x900,1055x694,,End Survey - Session 1,6,13,attention-pass,attention-pass,No,strategy-misc,
6,1.60241E+12,11/10/2020 08:35,1.60241E+12,-7,11/10/2020 01:35,20655,20,questionnaire-kzn1,,7166631,BLIND,2083614,,complete,,5f82bdefe9570f3dc925b147,computer,Desktop or Laptop,Mac OS 10.11,Firefox 78.0,1440x900,1055x694,,End Survey - Session 1,6,13,attention-pass,attention-pass,No,END QUESTIONNAIRE,47842
1,1.60241E+12,11/10/2020 08:35,1.60241E+12,-4,11/10/2020 04:35,20655,20,questionnaire-kzn1,,7166638,BLIND,2083615,,complete,,5f82bdc6c2f2443e7dc8c321,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x754,,End Survey - Session 1,6,3,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
