Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1602318928231,10/10/2020 08:35:28,1602318930309,1,10/10/2020 09:35:30,22514,6,questionnaire-k57k,,7156611,BLIND,2080751,,complete,,5f816d9c4e5a8521f1b677cc,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1536x864,1536x750,,End and debrief - Session 2,3,No,BEGIN QUESTIONNAIRE,
2,1602318949277,10/10/2020 08:35:49,1602318951406,1,10/10/2020 09:35:51,22514,6,questionnaire-k57k,,7156611,BLIND,2080751,,complete,,5f816d9c4e5a8521f1b677cc,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1536x864,1519x750,,End and debrief - Session 2,3,No,strategy-misc,
3,1602318949356,10/10/2020 08:35:49,1602318951408,1,10/10/2020 09:35:51,22514,6,questionnaire-k57k,,7156611,BLIND,2080751,,complete,,5f816d9c4e5a8521f1b677cc,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1536x864,1519x750,,End and debrief - Session 2,3,No,END QUESTIONNAIRE,21099
1,1602324480110,10/10/2020 10:08:00,1602324480009,1,10/10/2020 11:08:00,22514,6,questionnaire-k57k,,7157229,BLIND,2080921,,complete,,5f817ee0f458f821e51886d5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.75,1440x900,1440x821,,End and debrief - Session 2,3,No,BEGIN QUESTIONNAIRE,
2,1602324502287,10/10/2020 10:08:22,1602324502245,1,10/10/2020 11:08:22,22514,6,questionnaire-k57k,,7157229,BLIND,2080921,,complete,,5f817ee0f458f821e51886d5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.75,1440x900,1425x821,,End and debrief - Session 2,3,No,strategy-misc,"Having 6 seconds really affected my answers, would have liked longer time "
3,1602324502381,10/10/2020 10:08:22,1602324502248,1,10/10/2020 11:08:22,22514,6,questionnaire-k57k,,7157229,BLIND,2080921,,complete,,5f817ee0f458f821e51886d5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.75,1440x900,1425x821,,End and debrief - Session 2,3,No,END QUESTIONNAIRE,22239
1,1602328375144,10/10/2020 11:12:55,1602328375750,1,10/10/2020 12:12:55,22514,6,questionnaire-k57k,,7157809,BLIND,2081138,,complete,,5f819481051a0825074e65ab,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1366x768,1366x625,,End and debrief - Session 2,3,No,BEGIN QUESTIONNAIRE,
2,1602328382499,10/10/2020 11:13:02,1602328383174,1,10/10/2020 12:13:03,22514,6,questionnaire-k57k,,7157809,BLIND,2081138,,complete,,5f819481051a0825074e65ab,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1366x768,1349x625,,End and debrief - Session 2,3,No,strategy-misc,
3,1602328382563,10/10/2020 11:13:02,1602328383179,1,10/10/2020 12:13:03,22514,6,questionnaire-k57k,,7157809,BLIND,2081138,,complete,,5f819481051a0825074e65ab,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1366x768,1349x625,,End and debrief - Session 2,3,No,END QUESTIONNAIRE,7429
1,1602490961705,12/10/2020 08:22:41,1602490961616,1,12/10/2020 09:22:41,22514,6,questionnaire-k57k,,7179758,BLIND,2088452,,complete,,5f8410114a37cc000807ced2,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.2,1280x800,1280x737,,End and debrief - Session 2,3,No,BEGIN QUESTIONNAIRE,
2,1602491036266,12/10/2020 08:23:56,1602491036223,1,12/10/2020 09:23:56,22514,6,questionnaire-k57k,,7179758,BLIND,2088452,,complete,,5f8410114a37cc000807ced2,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.2,1280x800,1280x737,,End and debrief - Session 2,3,No,strategy-misc,I couldn't remember any of them - these were just random answers - the whole thing had gone from my mind
3,1602491036343,12/10/2020 08:23:56,1602491036225,1,12/10/2020 09:23:56,22514,6,questionnaire-k57k,,7179758,BLIND,2088452,,complete,,5f8410114a37cc000807ced2,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.2,1280x800,1280x737,,End and debrief - Session 2,3,No,END QUESTIONNAIRE,74609
1,1602491179111,12/10/2020 08:26:19,1602491237304,1,12/10/2020 09:27:17,22514,6,questionnaire-k57k,,7179808,BLIND,2088380,,complete,,5f840cb85956c4000c4db736,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,897x595,,End and debrief - Session 2,3,No,BEGIN QUESTIONNAIRE,
2,1602491197637,12/10/2020 08:26:37,1602491255802,1,12/10/2020 09:27:35,22514,6,questionnaire-k57k,,7179808,BLIND,2088380,,complete,,5f840cb85956c4000c4db736,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,897x595,,End and debrief - Session 2,3,No,strategy-misc,
3,1602491197793,12/10/2020 08:26:37,1602491255804,1,12/10/2020 09:27:35,22514,6,questionnaire-k57k,,7179808,BLIND,2088380,,complete,,5f840cb85956c4000c4db736,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,897x595,,End and debrief - Session 2,3,No,END QUESTIONNAIRE,18500
1,1602491461350,12/10/2020 08:31:01,1602491443964,-4,12/10/2020 04:30:43,22514,6,questionnaire-k57k,,7179864,BLIND,2088416,,complete,,5f840ea0fadb3b0008664c56,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1920x1005,,End and debrief - Session 2,3,No,BEGIN QUESTIONNAIRE,
2,1602491509608,12/10/2020 08:31:49,1602491492302,-4,12/10/2020 04:31:32,22514,6,questionnaire-k57k,,7179864,BLIND,2088416,,complete,,5f840ea0fadb3b0008664c56,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1920x1005,,End and debrief - Session 2,3,No,strategy-misc,Nothing at all. 
3,1602491509825,12/10/2020 08:31:49,1602491492303,-4,12/10/2020 04:31:32,22514,6,questionnaire-k57k,,7179864,BLIND,2088416,,complete,,5f840ea0fadb3b0008664c56,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1920x1005,,End and debrief - Session 2,3,No,END QUESTIONNAIRE,48339
1,1602491743903,12/10/2020 08:35:43,1602491744105,1,12/10/2020 09:35:44,22514,6,questionnaire-k57k,,7179932,BLIND,2088449,,complete,,5f840fe4f56cc00009f86ca5,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1368x912,1368x802,,End and debrief - Session 2,3,No,BEGIN QUESTIONNAIRE,
2,1602491752567,12/10/2020 08:35:52,1602491752831,1,12/10/2020 09:35:52,22514,6,questionnaire-k57k,,7179932,BLIND,2088449,,complete,,5f840fe4f56cc00009f86ca5,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1368x912,1351x802,,End and debrief - Session 2,3,No,strategy-misc,thank you
3,1602491752708,12/10/2020 08:35:52,1602491752838,1,12/10/2020 09:35:52,22514,6,questionnaire-k57k,,7179932,BLIND,2088449,,complete,,5f840fe4f56cc00009f86ca5,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1368x912,1351x802,,End and debrief - Session 2,3,No,END QUESTIONNAIRE,8739
1,1602500835083,12/10/2020 11:07:15,1602500835671,-4,12/10/2020 07:07:15,22514,6,questionnaire-k57k,,7182419,BLIND,2089589,,complete,,5f8432c63078d8044aceafc1,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4288.0,1024x576,1365x768,,End and debrief - Session 2,3,No,BEGIN QUESTIONNAIRE,
2,1602500864366,12/10/2020 11:07:44,1602500864996,-4,12/10/2020 07:07:44,22514,6,questionnaire-k57k,,7182419,BLIND,2089589,,complete,,5f8432c63078d8044aceafc1,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4288.0,1024x576,1343x768,,End and debrief - Session 2,3,No,strategy-misc,
3,1602500864491,12/10/2020 11:07:44,1602500865000,-4,12/10/2020 07:07:45,22514,6,questionnaire-k57k,,7182419,BLIND,2089589,,complete,,5f8432c63078d8044aceafc1,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4288.0,1024x576,1343x768,,End and debrief - Session 2,3,No,END QUESTIONNAIRE,29329
1,1602580974124,13/10/2020 09:22:54,1602580977138,1,13/10/2020 10:22:57,22514,6,questionnaire-k57k,,7198249,BLIND,2096995,,complete,,5f856bfcdf66f30008090e7a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x578,,End and debrief - Session 2,3,No,BEGIN QUESTIONNAIRE,
2,1602581028706,13/10/2020 09:23:48,1602581031620,1,13/10/2020 10:23:51,22514,6,questionnaire-k57k,,7198249,BLIND,2096995,,complete,,5f856bfcdf66f30008090e7a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1263x578,,End and debrief - Session 2,3,No,strategy-misc,
3,1602581028769,13/10/2020 09:23:48,1602581031623,1,13/10/2020 10:23:51,22514,6,questionnaire-k57k,,7198249,BLIND,2096995,,complete,,5f856bfcdf66f30008090e7a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1263x578,,End and debrief - Session 2,3,No,END QUESTIONNAIRE,54485
