ID,screening_eligibility,gender,gender_described,age,age_eligibility,included
2069364,1,Female,NA,27.5,1,1
2069363,1,Female,NA,28.833333333333332,1,1
2069366,1,Female,NA,25.583333333333332,1,1
2069372,1,Male,NA,24.333333333333332,1,1
2069373,1,Female,NA,24.416666666666668,1,1
2069368,1,Female,NA,23,1,1
2069367,1,Female,NA,36.416666666666664,0,0
2069374,1,Male,NA,34,1,1
2069370,1,Male,NA,35.416666666666664,1,1
2069371,1,Female,NA,27.25,1,1
2069381,1,Male,NA,24.166666666666668,1,1
2069382,1,Male,NA,27.416666666666668,1,1
2069383,1,Female,NA,30.833333333333332,1,1
2069369,1,Female,NA,33.75,1,1
2069377,1,Male,NA,32.666666666666664,1,1
2069385,1,Male,NA,21,1,1
2069386,1,Female,NA,30.833333333333332,1,1
2069365,1,Male,NA,29,1,1
2069375,1,Male,NA,24.75,1,1
2069389,1,Female,NA,32.583333333333336,1,1
2069396,1,Male,NA,24.75,1,1
2069394,1,Female,NA,25.416666666666668,1,1
2069399,1,Female,NA,18.333333333333332,1,1
2069443,1,Female,NA,33.166666666666664,1,1
2069415,1,Male,NA,28.5,1,1
2069535,1,Female,NA,22.333333333333332,1,1
2069537,1,Female,NA,27.083333333333332,1,1
2069522,1,Male,NA,28.5,1,1
2069567,1,Female,NA,29.083333333333332,1,1
2070024,1,Female,NA,22.083333333333332,1,1
2075944,1,Male,NA,20.833333333333332,1,1
2075941,1,Female,NA,21.25,1,1
2075940,1,Male,NA,33,1,1
2075939,1,Female,NA,29.166666666666668,1,1
2075947,1,Male,NA,23.166666666666668,1,1
2075948,1,Female,NA,28.333333333333332,1,1
2075945,1,Female,NA,25.75,1,1
2075950,1,Male,NA,21.583333333333332,1,1
2075949,1,Female,NA,30.083333333333332,1,1
2075942,1,Male,NA,22.25,1,1
2075946,1,Female,NA,29.5,1,1
2075951,1,Male,NA,31.5,1,1
2075952,1,Female,NA,30.25,1,1
2075962,1,Female,NA,33.166666666666664,1,1
2075960,1,Female,NA,33.5,1,1
2075961,1,Male,NA,21.833333333333332,1,1
2075953,1,Male,NA,29.583333333333332,1,1
2075957,1,Female,NA,21.916666666666668,1,1
2075956,1,Male,NA,21.583333333333332,1,1
2075959,1,Male,NA,23.333333333333332,1,1
2075954,1,Male,NA,21.75,1,1
2075967,1,Male,NA,27.916666666666668,1,1
2075958,1,Male,NA,27.166666666666668,1,1
2075963,1,Male,NA,26.916666666666668,1,1
2075979,1,Female,NA,19.083333333333332,1,1
2075968,1,Male,NA,27.666666666666668,1,1
2075943,1,Female,NA,25.666666666666668,1,1
2076004,1,Female,NA,30.333333333333332,1,1
2076070,1,Female,NA,19.833333333333332,1,1
2080713,1,Male,NA,23.25,1,1
2080715,1,Female,NA,26.166666666666668,1,1
2080714,1,Female,NA,27.5,1,1
2080717,1,Female,NA,23.333333333333332,1,1
2080725,1,Male,NA,31.25,1,1
2080721,1,Male,NA,26.5,1,1
2080718,1,Male,NA,25.583333333333332,1,1
2080722,1,Male,NA,22.416666666666668,1,1
2080720,1,Female,NA,29.5,1,1
