participant_private_id,trial_number,eventno,category_cue,response,target,manual_rating
2075962,3,19,LOCATION,station,stadium,
2075956,10,41,OBJECT,wis,whistle,
2075956,12,50,LOCATION,bakerr,basement,
2075956,22,51,OBJECT,whake,necklace,
2069522,28,39,LOCATION,grocery store,supermarket,
2070024,5,7,OBJECT,tre,book,
2069370,29,20,OBJECT,flowers,violin,
2075953,23,20,OBJECT,llmp,violin,
2080715,8,2,LOCATION,school,classroom,
2080720,4,52,OBJECT,shoe#,calculator,
2083627,10,4,LOCATION,station,post office,
2083627,11,8,OBJECT,came,ice cream,
2083612,7,21,OBJECT,airplane,whisk,
2083612,35,22,ANIMAL,tig,panda,
2083605,29,25,LOCATION,barn,shed,
2113701,3,19,OBJECT,bag,handbag,
2113701,15,24,OBJECT,buc,vase,
2088758,33,19,OBJECT,purse,handbag,
2104787,14,35,ANIMAL,alligator,crocodile,
2113703,13,27,OBJECT,spoc,sock,
2104774,23,31,ANIMAL,lie,lion,
2104817,8,41,OBJECT,pool,whistle,
2104817,19,38,OBJECT,jackr,candle,
2113690,8,44,OBJECT,coat,binoculars,
2113690,15,37,LOCATION,giffare,kitchen,
2083628,33,8,LOCATION,wa,waterfall,
2113692,13,13,LOCATION,garah,forest,
2113693,7,2,LOCATION,school,classroom,
2083601,34,7,OBJECT,kangraoo book\,book,
2088745,35,2,LOCATION,school,classroom,
2088770,9,9,LOCATION,ba,bank,
2088770,14,2,ANIMAL,besr,snake,
2104760,6,20,OBJECT,parking lot,violin,
2104760,19,31,LOCATION,parking lot,park,
2104760,21,32,OBJECT,bed,guitar,
2113796,4,35,ANIMAL,aligator,crocodile,
2088713,15,26,LOCATION,station,castle,
2088714,15,41,LOCATION,acquarium,library,
2113752,35,47,OBJECT,puzzle,jigsaw,
2125189,15,3,OBJECT,glaase,skipping rope,
2125189,37,3,ANIMAL,lamb,sheep,
2155929,7,7,OBJECT,rop,book,
2127986,18,13,OBJECT,whick,ball,
2128039,22,5,LOCATION,ci,circus,
2131306,8,7,LOCATION,station,treehouse,
2127989,36,32,LOCATION,dock,bedroom,
2138050,33,19,OBJECT,bag,handbag,
2155936,15,54,LOCATION,beever,pharmacy,
2128064,10,49,ANIMAL,hor,lobster,
2125183,7,52,OBJECT,scics,calculator,
2128011,18,4,LOCATION,po,post office,
2128011,23,6,OBJECT,cl,clock,
2131260,17,12,OBJECT,cup,mug,
2125198,36,16,ANIMAL,hamt,hamster,
2128130,29,35,LOCATION,bus,bus stop,
2128130,35,29,ANIMAL,deer,reindeer,
2125192,15,49,LOCATION,town,factory,
2125192,34,44,LOCATION,town,car park,
2125256,35,48,LOCATION,wi,windmill,
