participant_private_id,trial_number,display,reaction_time,response,cue,category_cue,target,eventno,pairtype,untested_element,accuracy,true_typo,typed_response,accuracy_types
2069366,3,retrieval_trial,3511.92499999888,church,sheep,OBJECT,skipping rope,3,AO,L,error,FALSE,church,we_cat_error
2069366,4,retrieval_trial,9992.545,NA,snake,OBJECT,kite,2,AO,L,error,FALSE,NA,miss
2069366,5,retrieval_trial,9992.546,NA,giraffe,OBJECT,clock,6,AO,L,error,FALSE,NA,miss
2069366,6,retrieval_trial,7356.495,bus stop,cow,OBJECT,backpack,4,AO,L,error,FALSE,bus stop,be_cat_error
2069366,7,retrieval_trial,7753.58999999298,umbrella,fish,OBJECT,dice,1,AO,L,error,FALSE,umbrella,wc_event_error
2069366,8,retrieval_trial,9992.53699999998,NA,trophy,LOCATION,university,18,OL,A,error,FALSE,NA,miss
2069366,9,retrieval_trial,9992.57399999999,NA,garden,ANIMAL,goat,11,LA,O,error,FALSE,NA,miss
2069366,10,retrieval_trial,5346.46499999508,dentists,ring,LOCATION,living room,15,OL,A,error,TRUE,dentist,wc_event_error
2069366,11,retrieval_trial,7946.57000000007,sheep,hairdressers,ANIMAL,flamingo,10,LA,O,error,FALSE,sheep,wc_event_error
2069366,12,retrieval_trial,9992.54499999998,NA,statue,LOCATION,cruise ship,16,OL,A,error,FALSE,NA,miss
2069366,13,retrieval_trial,4678.62999999488,bear,treehouse,ANIMAL,kangaroo,7,LA,O,error,FALSE,bear,wc_event_error
2069366,14,retrieval_trial,9992.57899999997,NA,spider,OBJECT,carrot,5,AO,L,error,FALSE,NA,miss
2069366,15,retrieval_trial,9992.51299999998,NA,ball,LOCATION,forest,13,OL,A,error,FALSE,NA,miss
2069366,16,retrieval_trial,9992.538,NA,lighthouse,ANIMAL,bear,12,LA,O,error,FALSE,NA,miss
2069366,17,retrieval_trial,9992.54300000001,owl,waterfall,ANIMAL,zebra,8,LA,O,CHECK,CHECK,owl,CHECK
2069366,18,retrieval_trial,9992.54200000002,NA,chainsaw,LOCATION,gym,17,OL,A,error,FALSE,NA,miss
2069366,19,retrieval_trial,9992.54399999999,NA,bank,ANIMAL,butterfly,9,LA,O,error,FALSE,NA,miss
2069366,20,retrieval_trial,8235.79000000609,',glasses,LOCATION,railway station,14,OL,A,CHECK,CHECK,',CHECK
2069366,21,retrieval_trial,8886.40499999747,lighthouse,bear,LOCATION,lighthouse,12,AL,O,1,FALSE,lighthouse,1
2069366,22,retrieval_trial,6650.64000000712,koala,forest,OBJECT,ball,13,LO,A,error,FALSE,koala,be_cat_error
2069366,23,retrieval_trial,9992.51199999999,l,living room,OBJECT,ring,15,LO,A,CHECK,CHECK,l,CHECK
2069366,24,retrieval_trial,9992.54799999995,ci,zebra,LOCATION,waterfall,8,AL,O,CHECK,CHECK,ci,CHECK
2069366,25,retrieval_trial,8857.02999999921,diner,kangaroo,LOCATION,treehouse,7,AL,O,CHECK,CHECK,diner,CHECK
2069366,26,retrieval_trial,9170.60499999207,field,goat,LOCATION,garden,11,AL,O,CHECK,CHECK,field,CHECK
2069366,27,retrieval_trial,8612.41499999596,tiger,gym,OBJECT,chainsaw,17,LO,A,error,FALSE,tiger,be_cat_error
